name,color,star,class,speed,power,attack,defense,health,skill,effects,passives,types,source,family_bonus,family,image,costume_id,dot_string,total_dot_damage,n_turns,dot_damage_per_turn,max_special_percent,min_special_percent,max_special_stat_percent,min_special_stat_percent,Title,Costume,Museum,Element,Rarity,Origin,Family,Release date,Class,Mana Speed,Special Skill,Passive #1,Passive #2,Passive #3,Passive #CB1,Passive #CB2,AetherPower,Max level: Attack,Max level: Defense,Max level: Health,Max level: Power,Limit Break #1: Attack,Limit Break #1: Defense,Limit Break #1: Health,Limit Break #1: Power,Limit Break #2: Attack,Limit Break #2: Defense,Limit Break #2: Health,Limit Break #2: Power,Mana Bonus CB1,Max level CB1: Attack,Max level CB1: Defense,Max level CB1: Health,Max level CB1: Power,Limit Break CB1 #1: Attack,Limit Break CB1 #1: Defense,Limit Break CB1 #1: Health,Limit Break CB1 #1: Power,Limit Break CB1 #2: Attack,Limit Break CB1 #2: Defense,Limit Break CB1 #2: Health,Limit Break CB1 #2: Power,Mana Bonus CB2,Max level CB2: Attack,Max level CB2: Defense,Max level CB2: Health,Max level CB2: Power,Limit Break CB2 #1: Attack,Limit Break CB2 #1: Defense,Limit Break CB2 #1: Health,Limit Break CB2 #1: Power,Limit Break CB2 #2: Attack,Limit Break CB2 #2: Defense,Limit Break CB2 #2: Health,Limit Break CB2 #2: Power,Mana Bonus CB3,Max level CB3: Attack,Max level CB3: Defense,Max level CB3: Health,Max level CB3: Power,Limit Break CB3 #1: Attack,Limit Break CB3 #1: Defense,Limit Break CB3 #1: Health,Limit Break CB3 #1: Power,Limit Break CB3 #2: Attack,Limit Break CB3 #2: Defense,Limit Break CB3 #2: Health,Limit Break CB3 #2: Power,Mana Bonus CB4,Max level CB4: Attack,Max level CB4: Defense,Max level CB4: Health,Max level CB4: Power,Limit Break CB4 #1: Attack,Limit Break CB4 #1: Defense,Limit Break CB4 #1: Health,Limit Break CB4 #1: Power,Limit Break CB4 #2: Attack,Limit Break CB4 #2: Defense,Limit Break CB4 #2: Health,Limit Break CB4 #2: Power
Jabberwock,purple,5,Monk,Fast,780,743,747,1328,Sideswipe,"['Deals 300% damage to the enemies on the edges of the enemy formation, If there is only one enemy alive, the damage is doubled.', ""The enemies on the edges of the enemy formation receive 249 poison damage over 3 turns. This effect can't be cleansed.""]",0,"['Hit 3', 'Dot 3']",Wonderland,"['Bonus for 2/3/4/5 Unique Heroes:', '+2%/+4%/+7%/+12% mana generation', '+5%/+10%/+15%/+20% critical chance', 'The members of this family have additional perks in the Challenge Festival events.']",Wonderland,https://i.imgur.com/ODUCn9s.jpg,0,249 poison damage over 3 turns.,249,3,83.0,300,300,0,0,Horror of Wonderland,0.0,168.0,Dark,5,Challenge Festival I,Wonderland Family,,Monk,Fast,Sideswipe,,,,,,Attack Up,743,747,1328,780,801.0,805.0,1431.0,831.0,916.0,922.0,1638.0,933.0,5%,943.0,933.0,1859.0,976.0,1017.0,1006.0,2003.0,1043.0,1163.0,1152.0,2293.0,1175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jabberwock C,purple,5,Druid,Fast,977,956,926,1845,Avenger of Mothkind,"['Deals 300% damage to the enemies on the edges of the enemy formation. If there is only one enemy alive, the damage is doubled.', ""The enemies on the edges of the enemy formation receive Corrosive Poison for 3 turns. The Corrosive Poison deals 153 Poison damage and lowers the target's mana generation by -12% each turn. This effect can't be cleansed.""]","['Mindless Attack On Special Skill: On Special Skill cast, 50% chance to inflict Mindless Attack on a random enemy for 3 turns.']","['Hit 2', 'Dot']",Wonderland,"['Bonus for 2/3/4/5 Unique Heroes:', '+2%/+4%/+7%/+12% mana generation', '+5%/+10%/+15%/+20% critical chance', 'The members of this family have additional perks in the Challenge Festival events.']",Wonderland,https://i.imgur.com/Y9oF73p.jpg,1,,0,0,0.0,300,300,-12,-12,Jabbermoth,1.0,169.0,Dark,5,Challenge Festival I,Wonderland Family,2021-12-15T07:00:00,Druid,Fast,Avenger of Mothkind,,,,Status Effect on Special,,Special Boost,753,741,1318,780,812.0,799.0,1420.0,831.0,929.0,914.0,1625.0,933.0,5%,956.0,926.0,1845.0,977.0,1031.0,998.0,1988.0,1043.0,1179.0,1142.0,2275.0,1175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucinda,purple,5,Sorcerer,Slow,933,865,931,1751,Might of Excalibroom,"['Deals 470% damage to target and nearby enemies.', 'The target and nearby enemies get -40% accuracy for 6 turns. Chance to miss  also applies to offensive Special Skills.', 'The target and nearby enemies get -34% defense for 6 turns.', 'The caster regenerates 918 HP over 6 turns.']","['Steal Buff: When this character casts their Special Skill, they have a 50% chance to steal the newest dispellable buff from a random enemy that has buffs. If no enemy has buffs, deals 70% damage to all enemies.']","['Hit 3', 'Blind', 'Defense Debuff', 'Self HoT']",Morlovia,"['Bonus for 1/2/3 Unique Heroes:', '+3%/+6%/+9% mana generation', 'The members of this family have additional perks in the Halloween event.']",Morlovia,https://i.imgur.com/tBoxHA4.jpg,0,,0,0,0.0,470,470,-34,-40,Wielder of Excalibroom,,72.0,Dark,5,Return to Morlovia,Morlovia Family,2023-09-25T07:00:00,Sorcerer,Slow,Might of Excalibroom,Steal Buff,,,,,Regen,865,931,1751,933,932.0,1003.0,1887.0,996.0,1066.0,1148.0,2159.0,1121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreadstar,purple,5,Sorcerer,Average,1013,1015,1060,1689,Astral Dominion,"['This Special Skill never misses its targets.', 'Deals 340% damage to all enemies.', 'All enemies get -35% mana generation for 4 turns.', 'All enemies get -85% decrease of any healing received for 4 turns.']","['Resist Poison: This character has innate resistance against Poison.', 'Share Received Damage: 20% of damage received by this charater is shared with other allies.']","['Hit All', 'Mana Generation debuff', 'Healing debuff']",BlackFriday,"['Bonus for 1/2 Unique Heroes:', '50% / 70% chance to dispel a random dispellable status effect buff from an enemy who deals Special Skill damage to this character.']",AstralElves,https://i.imgur.com/XzGqN00.jpg,0,,0,0,0.0,340,340,-35,-85,Queen of the Astral Elves,,2.0,Dark,5,Astral Plane,Astral Elves Family,2024-03-07T07:00:00,Sorcerer,Average,Astral Dominion,Share Received Damage,Resist Poison,,,,Attack Up,1015,1060,1689,1013,1094.0,1143.0,1820.0,1082.0,1252.0,1308.0,2082.0,1220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umeko,purple,5,Sorcerer,Charge,1108,1219,1143,1689,Noxious Blossom,"['Special Skill has a different effect when charged with 100%/200%/300% mana:', 'x1 Mana Charge:', ' - Dispels buffs from the target.', ' - The target receives 780 Poison damage over 2 turns.', ' - The target gets -80% decrease of any healing received for 2 turns.', 'x2 Mana Charge:', ' - Dispels buffs from the target and nearby enemies.', ' - The target and nearby enemies receive 1608 Poison damage over 4 turns.', ' - The target and nearby enemies get -85% decrease of any healing received for 4 turns.', 'x3 Mana Charge:', ' - Dispels buffs from all enemies.', ' - All enemies receive 2412 Poison damage over 6 turns.', ' - The target gets -90% decrease of any healing received for 6 turns.']",['Decreased Minion Health: Enemy Minions inherit -50% less Health when summoned.'],"['Dispeller', 'DoT 1/3/5', 'Healing Debuff']",Ninja,"['Bonus for 1/2/3 Unique Heroes:', '5%/10%/15% chance to dodge normal attacks and Special Skills', '5%/10%/15% chance to counterattack with 60%/90%/120% of the damage received.']",Ninja,https://i.imgur.com/2sWnlMn.jpg,0,2412 Poison damage over 6 turns.,2412,6,402.0,0,0,-80,-90,Poison Flower Ninja,,101.0,Dark,5,Ninja Tower,Ninja Family,2024-10-22T07:00:00,Sorcerer,Charge,Noxious Blossom,Decreased Minion Health,,,,,Ailment Immunity,1219,1143,1689,1108,1314.0,1232.0,1820.0,1184.0,1503.0,1409.0,2082.0,1337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narcisa,purple,5,Sorcerer,Fast,849,844,788,1491,Song of Calamity,"['Deals 240% damage to all enemies.', 'The duration of status ailments is reset for all enemies.', 'All enemies get -34% attack for 3 turns']",['Mana increase reduction: Reduces the amount of mana increased by Special Skill by -80%. The effect applies to all enemies in the battle.'],"['Hit All', 'Status Ailments Duration Reset', 'Attack Debuff']",Festival,"['Bard Family supports other families and realms.', ' * Solo Heroes get +5% mana generation. Team members are Solo Heroes if they have no family or realm members in the Team.']",Bard,https://i.imgur.com/ZW5xxnu.jpg,0,,0,0,0.0,240,240,-34,-34,Bard of Glamour,,9.0,Dark,5,Challenge Festival II,Bard Family,2022-08-11T07:00:00,Sorcerer,Fast,Song of Calamity,Reduce Mana gain from Special Skills,,,,,Special Armor,844,788,1491,849,910.0,850.0,1607.0,906.0,1041.0,972.0,1838.0,1018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannah,purple,5,Druid,Fast,807,780,747,1433,Corrupting Idol,"['Deals 215% damage to the target and narby enemies.', 'Summons a Golden Idol Field for the target and nearby enemies. The Fiend damages the enemy with 43% attack every turn.', 'The Golden Idol Fiend absorbs healing and disappears when it has absorbed health equal to 20% of its owners max health.', 'The Golden Idol Fiend gives -20% attack for its owner as long as the owner has Golden Idol Fiends. This effect cannot be cleansed.']",['Start Battle with Mana: This character receives 20% mana at the start of the battle.'],"['Hit 3', 'Fiend']",Season4,"['Bonus for 1/2/3/4/5 Unique Heroes:', '20%/24%/28%/32%/36% chance to spawn an Underwild Gem on the board when this Hero casts their Special Skill.', 'The Underwild Gems deal 50/35/25 (5*/4*/3*) damage to a random enemy each turn until it is matched.', 'Underwild Gems can only spawn on regular shields that match the element of this Hero.']",Underwild,https://i.imgur.com/adxVUbU.jpg,0,,0,0,0.0,215,20,-20,-20,Adventurous Archaeologist,0.0,124.0,Dark,5,Season IV,Underwild Family,2021-06-17T07:00:00,Druid,Fast,Corrupting Idol,Start Battle With Mana,,,,,Fiend Resist,780,747,1433,807,841.0,805.0,1545.0,861.0,962.0,922.0,1767.0,967.0,5%,967.0,911.0,1862.0,979.0,1042.0,982.0,2008.0,1045.0,1192.0,1124.0,2297.0,1178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannah C,purple,5,Rogue,Fast,979,983,901,1844,Delicious Idol,"['Deals 225% damage to the target and nearby enemies.', 'Summons a Golden Idol Fiend for the target and nearby enemies. The Fiend damages the enemy with 36% attack every turn.', 'The Golden Idol Fiend absorbs healing. It disappears after absorbing a healing amount equal to 28% of its target’s max health.', 'When summoned, the Golden Idol Fiend gives -20% attack for its owner for as long as the owner has Golden Idol Fiends. This effect can’t be cleansed.']","['Start Battle With Mana: This Hero receives 20% mana at the start of the battle.', 'Increased Damage Against Boosted Health: After this character casts their Special Skill, all allies deal +70% increased normal attacks and Special Skills damage against targets with boosted health for 4 turns.']","['Hit 3', 'Fiends 3']",Season4,"['Bonus for 1/2/3/4/5 Unique Heroes:', '20%/24%/28%/32%/36% chance to spawn an Underwild Gem on the board when this Hero casts their Special Skill.', 'The Underwild Gems deal 50/35/25 (5*/4*/3*) damage to a random enemy each turn until it is matched.', 'Underwild Gems can only spawn on regular shields that match the element of this Hero.']",Underwild,https://i.imgur.com/uhuj4Z5.jpg,1,,0,0,0.0,225,28,-20,-20,Adventurous Drover,1.0,125.0,Dark,5,Season IV,Underwild Family,2024-04-25T07:00:00,Rogue,Fast,Delicious Idol,Start Battle With Mana,,,Status Effect on Special,,Attack Up,793,739,1419,808,854.0,796.0,1529.0,860.0,977.0,911.0,1750.0,967.0,5%,983.0,901.0,1844.0,979.0,1058.0,971.0,1987.0,1045.0,1211.0,1111.0,2275.0,1178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xie Zi Jing,purple,5,Fighter,Fast,999,1025,976,1730,Wrathful Sting,"['This Special Skill ignores Dodge effects.', 'Dispels buffs from the target and nearby enemies.', 'Target and nearby enemies receive 936 Poison damage over 3 turns. This effect can’t be cleansed.']","['Mana on Buff Received: This character has a 50% chance to gain 10% mana when they receive a buff or possitive stack.', 'Health Recovery on Buff Received: This character has a 50% chance to recover 10% health when they receive a buff or possitve stack.']","['Dispeller', 'DoT 3']",Kingdom,"['Heroes become stronger when teamed with other unique Heroes of the same family.', 'Bonus for 1/2/3 Heroes:', '* 50% / 75% / 100% chance to increase the duration of each status effect that is cast by the hero by 1/2/3 turns.', 'MORALE BOOST:', 'Heroes belonging to this family as well as Heroes fighting alongside them receive the following perks in War of the Three Kingdoms:', '+10% attack, +3% defense, +7% health.']",Journey,https://i.imgur.com/jJUezPr.jpg,0,936 Poison damage over 3 turns.,936,3,312.0,0,0,0,0,Scorpion Demoness,,74.0,Dark,5,War of the Three Kingdoms,Journey Family,2024-02-06T07:00:00,Fighter,Fast,Wrathful Sting,Health Recovery on Buff Received,Mana on Buff Received,,,,Counterattack,1025,976,1730,999,1105.0,1052.0,1864.0,1067.0,1264.0,1203.0,2133.0,1202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ludwig,purple,5,Paladin,Slow,816,723,844,1442,Fullmetal Pelt,"[""The caster gets Taunt that prevents enemies from using Special Skills on the caster's allies for 6 turns."", 'The caster gets +84% defense against Special Skills for 6 turns.', 'Nearby allies receive mana each turn for 6 turns. Received mana increases each turn until the last turn, when 100% mana is received.']",0,"['Taunt', 'MoT']",Knights,"['Bonus for 1/2/3 Heroes:', '20%/35%/50% chance to make a cast buff undispellable.', 'The members of this family have additional perks in the Clash of Knights event.']",Wolf,https://i.imgur.com/VV20w6e.jpg,0,,0,0,0.0,100,100,84,84,Defender of the Castle,,13.0,Dark,5,Clash of Knights,Wolf Family,2021-10-13T07:00:00,Paladin,Slow,Fullmetal Pelt,,,,,,Taunt,723,844,1442,816,779.0,910.0,1554.0,870.0,891.0,1041.0,1778.0,977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darkfeather,purple,5,Druid,Average,941,906,943,1680,The Eagle’s Blessing,"['Recovers 25% health of all allies.', 'Growth: All allies get 180 attack and 180 defense.', 'All allies have 50% chance to deal 270% damage to a random enemy after any  subsequent allied Special Skill is cast for 3 turns.  (Damage is dealt on the first Special Skill cast of each character per turn.)']","['Effects on Special Skill: 50% chance to perform the following actions when this character casts their Special Skill.', ' * Deals 90% damage to all enemies.', ' * All enemies get -25% accuracy for 3 turns.']","['Healer', 'Attack buff', 'Defense buff']",goblinvillage,"['Bonus for 1/2/3 Heroes:', 'Each time this Hero takes damage from the enemy’s Special Skill, removes 50% / 75% / 100% boosted health from all enemies.']",goblin,https://i.imgur.com/9UklXhJ.jpg,0,,0,0,0.0,270,25,0,0,Adept Eagle Trainer,,68.0,Dark,5,Goblin Village,Goblin Family,2023-09-18T07:00:00,Druid,Average,The Eagle's Blessing,Effects on Special Skill,,,,,Defense Up,906,943,1680,941,976.0,1016.0,1811.0,1004.0,1117.0,1163.0,2072.0,1131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortimer,purple,5,Rogue,Average,873,846,861,1507,Tidal Waves,"['Deals 480% damage to target and a minor damage to nearby enemies.', 'The target and nearby enemies get silenced for 3 turns.', 'The caster and nearby allies resist new effects that block usage of Special Skills for 3 turns.']","['Resist Water Damage: This character has innate resistance against Water Damage.', 'Damage over time on Special: When this character casts their Special Skill, all enemies receive 202 Water damage over 2 turns.']","['Hit 3', 'Silencer']",beachparty,"['Bonus for 1/2/3 Heroes:', '-20%/-40%/-60% damage received from damage over time status effects.', 'The members of this family have additional perks in the Beach Party event.']",BeachParty,https://i.imgur.com/J2WmnG0.jpg,0,,0,0,0.0,480,480,0,0,Dark Elf Surfer,,10.0,Dark,5,Beach Party,Beach Party Family,2023-06-12T07:00:00,Rogue,Average,Tidal Waves,Resist Water Damage,Status Effect on Special,,,,Attack Up,846,861,1507,873,912.0,927.0,1625.0,931.0,1043.0,1061.0,1859.0,1047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obakan,purple,5,Barbarian,Fast,756,762,638,1328,Cleave and Counter,"['Deals 310% damage to the target and minor damage to nearby enemies', 'The caster counterattacks with 115% of the damage received for 4 turns']",0,"['Hit 3', 'Counterattack']",Season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into a Superior Class Talent.']",Classic,https://i.imgur.com/0JU9Ii1.jpg,0,,0,0,0.0,310,115,0,0,Praetorian Bodyguard,0.0,154.0,Dark,5,Classic,Classic Family,,Barbarian,Fast,Cleave And Counter,,,,,,Counterattack,762,638,1328,756,821.0,688.0,1431.0,805.0,939.0,787.0,1638.0,903.0,5%,861.0,720.0,1593.0,850.0,927.0,777.0,1717.0,907.0,1061.0,889.0,1965.0,1020.0,5%,982.0,823.0,1912.0,966.0,1059.0,887.0,2060.0,1032.0,1211.0,1015.0,2358.0,1163.0,5%,1143.0,957.0,2257.0,1108.0,1231.0,1032.0,2432.0,1185.0,1408.0,1180.0,2784.0,1337.0,5%,1257.0,1052.0,2257.0,1175.0,1354.0,1135.0,2432.0,1257.0,1549.0,1298.0,2784.0,1420.0
Obakan C,purple,5,Rogue,Fast,796,775,712,1436,Oppose and Overthrow,"['Deals 182% damage to all enemies', 'The casetr and nearby allies counterattack with 85% of the damage receied for 4 turns.']",0,['Hit all'],Season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into a Superior Class Talent.']",Classic,https://i.imgur.com/SB2N0Vj.jpg,1,,0,0,0.0,182,85,0,0,Praetorian Gladiator,1.0,155.0,Dark,5,Classic,Classic Family,2021-01-18T07:00:00,Rogue,Fast,Oppose and Overthrow,,,,,,Damage Reduction,739,679,1306,756,796.0,732.0,1407.0,805.0,911.0,838.0,1610.0,903.0,5%,835.0,767.0,1567.0,851.0,899.0,827.0,1688.0,907.0,1029.0,946.0,1932.0,1020.0,5%,953.0,875.0,1880.0,966.0,1026.0,944.0,2026.0,1032.0,1175.0,1081.0,2318.0,1163.0,5%,1108.0,1018.0,2220.0,1108.0,1194.0,1098.0,2391.0,1185.0,1366.0,1257.0,2737.0,1338.0,5%,1219.0,1120.0,2220.0,1176.0,1313.0,1207.0,2391.0,1257.0,1503.0,1382.0,2737.0,1421.0
Obakan C2,purple,5,Fighter,Fast,859,829,793,1591,Vampiric Cleave,"['Deals 260% damage to the target and nearby enemies', 'The caster and nearby allies counterattack with 95% of the damage received for 3 turns.', 'The caster and nearby allies regenerate a moderate amount of mana for each counterattack. The effect gets diminished for consecutive activations during the same turn.']",0,"['Hit 3', 'Counterattack']",Season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into a Superior Class Talent.']",Classic,https://i.imgur.com/jA79vt4.jpg,2,,0,0,0.0,260,95,0,0,Praetorian Vampire,2.0,156.0,Dark,5,Classic,Classic Family,2022-09-05T07:00:00,Fighter,Fast,Vampiric Cleave,,,,,,Vampire,721,690,1326,756,777.0,743.0,1429.0,805.0,889.0,850.0,1635.0,903.0,5%,814.0,779.0,1591.0,850.0,878.0,839.0,1714.0,907.0,1004.0,960.0,1962.0,1019.0,5%,930.0,890.0,1909.0,966.0,1002.0,958.0,2057.0,1031.0,1146.0,1096.0,2354.0,1162.0,5%,1081.0,1035.0,2254.0,1108.0,1165.0,1114.0,2429.0,1184.0,1333.0,1275.0,2779.0,1337.0,5%,1189.0,1138.0,2254.0,1175.0,1282.0,1225.0,2429.0,1256.0,1466.0,1402.0,2779.0,1419.0
Obakan C3,purple,5,Barbarian,Fast,1110,1114,1018,2215,Toon and Counter,"['Deals 390% damage to the target and minor damage to nearby enemies.', 'The caster counterattacks with 110% of the damage received for 4 turns.', 'Deals extra damage against Holy.']","['Toon: 75% extra chance to resist all status ailments, mana reductions and buff dispels.']","['Hit 3', 'Counterattack']",Season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into a Superior Class Talent.']",Classic,https://i.imgur.com/YICnCq4.jpg,3,,0,0,0.0,390,110,0,0,Praetorian Toon,3.0,157.0,Dark,5,Classic,Classic Family,2023-11-27T07:00:00,Barbarian,Fast,Toon and Counter,Toon,,,,,Counterattack,743,679,1303,757,801.0,732.0,1405.0,807.0,916.0,838.0,1607.0,905.0,5%,839.0,767.0,1563.0,852.0,905.0,827.0,1686.0,909.0,1035.0,946.0,1928.0,1022.0,5%,958.0,875.0,1876.0,967.0,1033.0,944.0,2023.0,1034.0,1181.0,1081.0,2314.0,1164.0,5%,1114.0,1018.0,2215.0,1110.0,1201.0,1098.0,2388.0,1187.0,1374.0,1257.0,2731.0,1340.0,5%,1225.0,1120.0,2215.0,1177.0,1321.0,1207.0,2388.0,1259.0,1511.0,1382.0,2731.0,1423.0
Medea,purple,5,Ranger,Changing Tides,999,999,1009,1728,Shatter Psyche,"['Special Skill need consecutive uses to reach full power, the following order:', '1st:', ' * Deals 365% damage to the target and nearby enemies.', ' * The target automatically casts Shifting Mindless Attack on a random ally when mana is full at the start of a turn during 3 turns. When this effect is triggered, it shifts to the hit ally and the duration is refreshed.', ' * The target and nearby enemies get -50% decrease for any healing received for 3 turns.', '2nd:', ' * Deals 430% damage to the target and nearby enemies.', ' * The target automatically casts Shifting Mindless Attack on a random ally when mana is full at the start of a turn during 4 turns. When this effect is triggered, it shifts to the hit ally and the duration is refreshed.', ' * The target and nearby enemies get -75% decrease for any healing received for 4 turns.']","['Effects on Special Skill: 50% chance to perform the following actions when this character casts their Special Skill', ' * Deals 80% damage to all enemies.', ' * The caster gets +19% mana generation for 2 turns.', 'Resist Insanity: This character has innate resistance against Insanity.']","['Hit 3', 'Mindless attack', 'Healing debuff']",untoldtales,"['Bonus for 1/2 Unique Heroes:', '50%/75% chance to cast -10% mana generation for 3 turns on an enemy who deals Special Skill damage to this character. If the enemy’s Special Skill defeats this character, the chance is 75%/100%.', 'Related Family Bonus: Hero is related to the Atlantis Family.', 'Hero receives the family bonus of a related family when in team with at least 1 related hero. Bonus for 1/2/3/4/5 heroes: +5%/+10%/+15%/+20%/+25% defense.', 'The members of this family have additional perks in Untold Tales stages.']",Nightmares of Atlantis,https://i.imgur.com/RtOVjbp.jpg,0,,0,0,0.0,430,365,-50,-75,Naga Queen of the Deep,0.0,148.0,Dark,5,Untold Tales 1,Nightmares of Atlantis Family,2024-01-17T07:00:00,Ranger,Changing Tides,Shatter Psyche,Effects on Special Skill,,,,,Attack Up,999,1009,1728,999,1076.0,1087.0,1862.0,1066.0,1231.0,1244.0,2131.0,1202.0,5%,1128.0,1140.0,2039.0,1124.0,1215.0,1228.0,2197.0,1201.0,1391.0,1405.0,2514.0,1357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medea C,purple,5,Fighter,Changing Tides,1125,1158,1116,2016,Shatter Soul,"['Special Skill need consecutive uses to reach full power, the following order:', '1st:', ' * Deals 355% damage to the target and nearby enemies.', ' * The target automatically casts Shifting Mindless Attack on a random ally when mana is full at the start of a turn during 3 turns. When this effect is triggered, it shifts to the hit ally and the duration is refreshed.', ' * The target and nearby enemies get -45% decrease for any healing received for 3 turns.', '2nd:', ' * Deals 450% damage to the target and nearby enemies.', ' * The target automatically casts Shifting Mindless Attack on a random ally when mana is full at the start of a turn during 4 turns. When this effect is triggered, it shifts to the hit ally and the duration is refreshed.', ' * The target and nearby enemies get -85% decrease for any healing received for 4 turns.']","['Effects on Special Skill: 50% chance to perform the following actions when this character casts their Special Skill', ' * Deals 80% damage to all enemies.', ' * The caster gets +19% mana generation for 2 turns.', 'Resist Insanity: This character has innate resistance against Insanity.']","['Hit 3', 'Mindless attack', 'Healing debuff']",untoldtales,"['Bonus for 1/2 Unique Heroes:', '50%/75% chance to cast -10% mana generation for 3 turns on an enemy who deals Special Skill damage to this character. If the enemy’s Special Skill defeats this character, the chance is 75%/100%.', 'Related Family Bonus: Hero is related to the Atlantis Family.', 'Hero receives the family bonus of a related family when in team with at least 1 related hero. Bonus for 1/2/3/4/5 heroes: +5%/+10%/+15%/+20%/+25% defense.', 'The members of this family have additional perks in Untold Tales stages.']",Nightmares of Atlantis,https://i.imgur.com/CadXjHa.jpg,1,,0,0,0.0,450,355,-45,-85,Naga Goddess of the Deep,1.0,149.0,Dark,5,Untold Tales 1,Nightmares of Atlantis Family,2024-10-19T07:00:00,Fighter,Changing Tides,Shatter Soul,Effects on Special Skill,,,Resist Insanity,,Special Boost,1025,988,1709,999,1105.0,1065.0,1842.0,1067.0,1264.0,1219.0,2108.0,1203.0,5%,1158.0,1116.0,2016.0,1125.0,1248.0,1203.0,2173.0,1202.0,1428.0,1377.0,2487.0,1358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiong Shanjun,purple,5,Paladin,Average,874,766,908,1621,Fury of the Mountain Lord,"[""Reduces max health of all enemies by 800 over 4 turns. The effect is stronger against targets with boosted health. Max health can't get lower than 30% of the original max health. Any boosted health is reduced by an additional 200 per turn."", 'All allies regenerate 800 boosted health over 4 turns. Boosted health can exceed max HP.', 'All enemies get -24% mana generation for 4 turns.', 'All allies get +24% mana generation for 4 turns.']",0,"['Health Reduction', 'Health Boost', 'Mana Generation Debuff', 'Mana Generation Buff']",Kingdom,"['Heroes become stronger when teamed with other unique Heroes of the same family.', 'Bonus for 1/2/3 Heroes:', '* 50% / 75% / 100% chance to increase the duration of each status effect that is cast by the hero by 1/2/3 turns.', 'MORALE BOOST:', 'Heroes belonging to this family as well as Heroes fighting alongside them receive the following perks in War of the Three Kingdoms:', '+10% attack, +3% defense, +7% health.']",Journey,https://i.imgur.com/WyjU3s9.jpg,0,,0,0,0.0,30,30,24,-24,Bear Mountain Lord,,75.0,Dark,5,War of the Three Kingdoms,Journey Family,2023-04-24T07:00:00,Paladin,Average,Fury of the Mountain Lord,,,,,,Heal Increase,766,908,1621,874,825.0,979.0,1747.0,932.0,944.0,1120.0,1998.0,1048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
