name,color,star,class,speed,power,attack,defense,health,skill,effects,passives,types,source,family_bonus,family,image,costume_id,dot_string,total_dot_damage,n_turns,dot_damage_per_turn,max_special_percent,min_special_percent,max_special_stat_percent,min_special_stat_percent
Swan Maiden,blue,3,Paladin,Average,514,521,521,869,Dance of the Little Swan,"['The caster regenerates 402 HP over 3 turns.', 'The caster gets +30% chance to dodge Special Skills that deal damage for 3 turns.', 'Casts Dance of the Little Swan to all allies but caster for 3 turns. All existing status effects will be removed when this effect is added.', 'Dance of the Little Swan', ' * +30% chance to dodge attacks and Special Skills.', ' * 35% chance to deal 240% damage to a random enemy after any subsequent allied Special Skill is cast.', ' * Gives immunity to new status effects. New dance status effects will replace this effect.', ' * This effect cannot be dispelled. The effect is removed when the caster dies.']","['Heal when status ailment expires or is cleared: This character receives 10% health each time a status ailment expires or is cleansed, removed or reallocated from them. This effect can activate only once per turn.', 'Resist Defense Ailments: This character has innate resistance against status ailments that affect defense. Doesn’t apply to status ailments that affect elemental defense.']","['Self HoT', 'Self Dodge Buff', 'Dance of the Little Swan 4', 'Dodge Buff 4', 'Status Effect Immunity 4']",solstice,"['Heroes become stronger when teamed with other unique Heroes of the same family.', 'Bonus for 1/2/3 Heroes:', '* +5% / +10% / +15% attack.', '* +5% / +10% / +15% defense.', '* +5% / +10% / +15% HP.', 'The members of this family have additional perks in the Secrets of the Opera event.']",opera,https://i.imgur.com/2eJk70W.jpg,0,,0,0,0.0,240,35,30,30
Gunnar,blue,3,Paladin,Slow,441,387,533,656,Spirit Link,"['All allies become Soul Connected for 5 turns. Soul Connected allies share received damage.', 'All allies get +63% defense for 5 turns']",0,"['Ally Damage Share', 'Defense Buff All']",season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into Superior Class Talent.']",classic,https://i.imgur.com/ra4Iv0M.jpg,0,,0,0,0.0,0,0,63,63
Gunnar C,blue,3,Druid,Slow,464,415,544,729,Steel Link,"['All enemies become Soul Connected for 5 turns. Soul Connected enemies share received damage.', 'All enemies get -44% defense for 5 turns.']",0,"['Enemy Damage Share', 'Defense Debuff All']",season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into Superior Class Talent.']",classic,https://i.imgur.com/MxDScRN.jpg,1,,0,0,0.0,0,0,-44,-44
Gunnar C2,blue,3,Paladin,Slow,503,499,533,817,Toon Link,"['All allies become Soul Connected for 5 turns. Soul Connected allies share received damage. This status effect is undispellable and lasts 2 turns longer on Ice characters.', 'All allies get +51% defense for 5 turns. This status effect is undispellable and lasts 2 turns longer on Ice characters.']","['Toon: 75% extra chance to resist all status ailments, mana reductions and buff dispels.']","['Ally Damage Share', 'Defense Buff All']",season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into Superior Class Talent.']",classic,https://i.imgur.com/F5oS2LZ.jpg,2,,0,0,0.0,0,0,51,51
Graymane,blue,3,Sorcerer,Average,441,467,368,789,Wolf Bite,"['Deals 225% damage to the target.', 'Heals the caster for 50% of damage dealt.']",0,"['Hit 1', 'Self Heal']",season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into Superior Class Talent.']",classic,https://i.imgur.com/QFfHzlB.jpg,0,,0,0,0.0,225,50,0,0
Graymane C,blue,3,Barbarian,Average,465,457,411,896,Racoon Bite,"['Deals 235% damage to the target.', ""The caster is immune to new status ailments for 3 turns.  This effect can't be dispelled."", 'The caster gets +50% attack for 3 turns.']",0,"['Hit 1', 'Ailments Immunity Self', 'Attack Buff Self']",season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into Superior Class Talent.']",classic,https://i.imgur.com/zH4VZaJ.jpg,1,,0,0,0.0,235,235,50,50
Graymane C2,blue,3,Sorcerer,Average,504,558,399,946,Toon Bite,"['Deals 255% damage to the target.', 'Heals the caster for 45% of damage dealt.', 'Deals extra damage against Fire.']","['Toon: 75% extra chance to resist all status ailments, mana reductions and buff dispels.']","['Hit 1', 'Self Heal']",season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into Superior Class Talent.']",classic,https://i.imgur.com/Qf69vSG.jpg,2,,0,0,0.0,255,45,0,0
Graymane C3,blue,3,Sorcerer,Average,513,532,446,980,Glass Bite,"['Deals 265% damage to the target.', 'The attack bypasses defensive buffs. (This includes counterattacks.)', 'Heals the caster for 48% of damage dealt.']",['Glass: 60% extra chance to reflect status ailments back to the attacker.'],"['Hit 1', 'Bypass', 'Self Heal']",season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into Superior Class Talent.']",classic,https://imgur.com/B6cM6Ze.jpg,3,,0,0,0.0,265,48,0,0
Nordri,blue,3,Barbarian,Average,464,488,406,818,Frosty Axes,"['Deals 245% damage to the target and minor damage to nearby enemies', 'The target and nearby enemies get -54% defense against Ice for 4 turns']",0,"['Hit 3', 'Elemental Defense Debuff']",season3,"['Bonus for 1/2/3 Unique Heroes:', 'All allies get an Ice Giant minion with 6%/10%/14% HP and 10%/12%/16% attack inherited from the caster when a Jotunheim Hero dies.']",jotunheim,https://i.imgur.com/35qzhpx.jpg,0,,0,0,0.0,245,245,-54,-54
Nordri C,blue,3,Monk,Average,479,477,432,902,Icy Axes,"['Deals 230% damage to the target and nearby enemies.', 'All enemies get -54% defense against Ice for 3 turns.  Against Fire characters, this status effect becomes uncleansable and lasts 2 turns longer.']",0,"['Hit 3', 'Elemental Defense Debuff']",season3,"['Bonus for 1/2/3 Unique Heroes:', 'All allies get an Ice Giant minion with 6%/10%/14% HP and 10%/12%/16% attack inherited from the caster when a Jotunheim Hero dies.']",jotunheim,https://i.imgur.com/rQEdas3.jpg,1,,0,0,0.0,230,230,-54,-54
Yao,blue,3,Ranger,Average,483,486,497,778,Sword of Wei,"['Deals 215% damage to the target and nearby enemies.', 'Summons a Wei Soldier Minion with 20% HP and 25% attack inherited from the caster.', 'Each hit from a Wei Soldier Minion dispells all dispellable buffs from the target.']",0,"['Hit 3', 'Summoner']",kingdom,"['Bonus for 1/2/3 Unique Heroes:', '2% / 4% / 6% mana each time a Minion is summoned for the Hero.', '3% / 5% / 7% heal each time a Minion is summoned for the Hero.', 'Morale Boost:', 'Heroes belonging to this family as well as heroes fighting alongside with them receive additional perks in War of the Three Kingdoms:', '+10% attack, + 3% defense, +7% health']",kingdom,https://i.imgur.com/uzjBEsd.jpg,0,,0,0,0.0,215,20,0,0
Virgil,blue,3,Cleric,Charge,484,413,495,976,Imaginary Increments,"['Special Skill has a different effect when charged with 100% / 200% / 300% mana:', '1x Mana Charge:', '* Recovers 15% health for all allies.', '* All allies get +40% defense against Nature for 2 turns.', '2x Mana Charge:', '* Recovers 25% health for all allies.', '* All allies get +54% defense against Special Skills for 3 turns.', '3x Mana Charge:', '* Recovers 45% health for all allies.', '* All allies get +94% defense against Nature for 2 turns.', '* All allies get +74% defense against Special Skills for 3 turns.']","['Decreased Minion Health: Enemy Minions inherit -50% less Health when summoned.', 'Resist defense Ailments: This character has innate resistance against status ailments that affect defense. Applies also to status ailments that affect elemental defense.']","['Charge', 'Healer', 'Elemental Defense Buff']",styx,"['Bonus for 1/2/3 Unique Heroes:', '40%/60%/80% chance to cast -30% mana generation to all enemies for 2 turns when this hero casts their Special Skill.']",styx,https://i.imgur.com/lXHaox1.jpg,0,,0,0,0.0,300,15,94,40
Chick Jr,blue,3,Paladin,Average,462,523,413,703,Compact Lance,"['Deals 180% damage to all enemies', ""The caster gets -20% attack for 3 turns. This effect can't be cleansed.""]",0,['Hit All'],springvale,"['Bonus for 2/3 Unique Heroes:', '+10%/+20% attack', 'The members of this family have additional perks in the Springvale Festival event.']",springvale,https://i.imgur.com/3LZJ0cl.jpg,0,,0,0,0.0,180,180,-20,-20
Frosty,blue,3,Rogue,Average,475,441,523,783,Joyful Backup,"['Recovers 32% health for all allies.', 'Summons an Elf Minion for each ally with 10% HP and 10% attack inherited from the caster.']",0,"['Heal All', 'Summoner']",christmas,"['Bonus for 2/3 Unique Heroes:', '+2%/ +3% health for Minions inherited from their summoner.', '+5%/+10% attack for Minions inherited from their summoner.', ""The members of this family have additional perks in the Santa's Challenge event.""]",christmas,https://i.imgur.com/33YbQ2h.jpg,0,,0,0,0.0,32,10,0,0
Karil Glass Costume,blue,3,Barbarian,Average,513,599,418,873,Glass Rush,"['Deals 300% damage to the target and minor damage to nearby enemies.', 'The attack bypasses defensive buffs. (This includes counterattacks.)']",['Glass: 60% extra chance to reflect status ailments back to the attacker.'],"['Hit 3', 'Bypass']",season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into Superior Class Talent.']",classic,https://imgur.com/RwxxvuX.jpg,0,,0,0,0.0,300,300,0,0
Gato,blue,3,Fighter,Fast,447,516,401,639,Swamp Slash,"['Deals 300% damage to the target.', 'The caster and nearby allies are immune to new status ailments for 3 turns.']",0,"['Hit 1', 'Debuff Immunity 3']",season2,"['Bonus for 1/2/3/4/5 Unique Heroes:', '+3%/+6%/+10%/+15%/+20% attack']",lagoon,https://i.imgur.com/4RQUIxe.jpg,0,,0,0,0.0,300,300,0,0
Graymane Glass Costume,blue,3,Sorcerer,Average,513,532,446,980,Glass Bite,"['Deals 265% damage to the target.', 'The attack bypasses defensive buffs. (This includes counterattacks.)', 'Heals the caster for 48% of damage dealt.']",['Glass: 60% extra chance to reflect status ailments back to the attacker.'],"['Hit 1', 'Bypass', 'Self Heal']",season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into Superior Class Talent.']",classic,https://imgur.com/B6cM6Ze.jpg,0,,0,0,0.0,265,48,0,0
Jarif,blue,3,Wizard,Average,483,507,408,908,Disabling Decree,"['Deals 335% damage to the target.', 'The target is immune to new status effect buffs for 3 turns, and receives 70 damage for each attempted buff.']","['Effects on Special Skill: 60% chance to perform the following actions when this character casts their Special Skill', ' * Deals 70% damage to all enemies.', ' * All enemies get -24% mana generation for 3 turns.']","['Hit 1', 'Buff Immunity']",season5,"['Bonus for 1/2 Unique Heroes:', '50% / 75% chance to cast -24% defense for 2 turns and 196/146/114 (5*/4*/3*) Water damage over 2 turns on an enemy who deals Special Skill damage to this character.', 'If the enemy’s Special Skill defeats this character, the chance is 75%/100%', 'The members of this family have additional perks in Season V stages']",moon,https://i.imgur.com/ntCu0sS.jpg,0,,0,0,0.0,335,335,0,0
Jarif C,blue,3,Cleric,Average,495,550,398,901,Disabling Study,"['Deals 300% damage to the target.', 'The target is immune to new status effect buffs for 3 turns, and receives 150 damage for each attempted buff.']","['Effects on Special Skill: 60% chance to perform the following actions when this character casts their Special Skill', ' * Deals 70% damage to all enemies.', ' * All enemies get -24% mana generation for 3 turns.', 'Extra Chance for Effects on Special Skill: When this character casts their Special Skill, any of their Passive Skills that grant extra effects on cast have 3 chances to activate.', 'Resist Sand Damage: This character has innate resistance against sand damage.']","['Hit 1', 'Buff Immunity']",season5,"['Bonus for 1/2 Unique Heroes:', '50% / 75% chance to cast -24% defense for 2 turns and 196/146/114 (5*/4*/3*) Water damage over 2 turns on an enemy who deals Special Skill damage to this character.', 'If the enemy’s Special Skill defeats this character, the chance is 75%/100%', 'The members of this family have additional perks in Season V stages']",moon,https://i.imgur.com/o4H256x.jpg,1,,0,0,0.0,300,300,0,0
Dawn,blue,3,Cleric,Average,484,451,477,912,Hunting Ballad,"['Summons a Hunting Owl Minion for the caster and nearby allies with 10% HP and 20% attack inherited from the caster.', 'Each hit from a Hunting Owl Minion reduces the mana of the target by -6%.', 'The caster and nearby allies get +54% defense against Special Skills for 3 turns.', 'Cleanses status ailments from the caster and nearby allies.']","['Special Skill Damage Reduction: This character has a 10% chance to drop the direct damage received from Special Skills to 1.', 'Status effect on Special: When this character casts their Special Skill, they give a Hunter’s Mark on a random enemy. The target receives 150 damage over 3 turns. If a target already has this effect, the duration will be refreshed and the damage will be increased by 150, up to 1500 damage in total.']","['Summoner 3', 'Minions with Mana Reduction Hit', 'Special Skill Defense Buff', 'Cleanser 3']",covenant,"['Bonus for 2/3/4/5 Heroes:', '+5%/+10%/+15%/+20% attack.', 'Event Bonus: Heroes belonging to the Plains Hunter family receive the following perks on Monster Island: * +20% attack, +20% defense, +20% health * 50% less permanent damage taken. * Stack (Max 10): When this character casts their Special Skill, all enemies get -3% defense.']",plainshunter,https://i.imgur.com/yP9tWF8.jpg,0,,0,0,0.0,20,10,54,-6
Ulmer,blue,3,Wizard,Slow,445,528,359,677,Blizzard,"['Deals 116% damage to all enemies.', 'All enemies get -34% defense for 6 turns.']",0,"['Hit All', 'Defense Debuff All']",season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into Superior Class Talent.']",classic,https://i.imgur.com/8fr1xWV.jpg,0,,0,0,0.0,116,116,-34,-34
Ulmer C,blue,3,Monk,Slow,468,522,403,772,Whiteout,"['Deals 145% damage to all enemies.', 'All allies get +48% attack for 6 turns.']",0,"['Hit all', 'Attack Buff All']",season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into Superior Class Talent.']",classic,https://i.imgur.com/0GakWdj.jpg,1,,0,0,0.0,145,145,48,48
Ulmer C2,blue,3,Wizard,Slow,507,533,504,820,Toon Blizzard,"['Deals 146% damage to all enemies.', 'All enemies get -24% defense for 6 turns.', 'Deals extra damage against Fire.']","['Toon: 75% extra chance to resist all status ailments, mana reductions and buff dispels.']","['Hit All', 'Defense Debuff All']",season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into Superior Class Talent.']",classic,https://i.imgur.com/7Gi7zzw.jpg,2,,0,0,0.0,146,146,-24,-24
Ulmer C3,blue,3,Wizard,Slow,516,552,507,830,Glass Blizzard,"['Deals 156% damage to all enemies.', 'The attack bypasses defensive buffs. (This includes counterattacks.)', 'All enemies get -30% defense for 6 turns.']",['Glass: 60% extra chance to reflect status ailments back to the attacker.'],"['Hit All', 'Bypass', 'Defense Debuff All']",season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into Superior Class Talent.']",classic,https://imgur.com/mdOC2xf.jpg,3,,0,0,0.0,156,156,-30,-30
Bryggvir,blue,3,Barbarian,Average,515,570,552,689,Goat Rush,"['Attacks the target and nearby enemies with Frostfall Strike, dealing up to 840 damage. Deals 20% more if the target is of the Fire element. This Special Skill never misses its targets.', 'Increases the mana of the caster and nearby allies by 10%.']","['Empowered Resist Frost: This character has innate resistance against Frost and gains 450 boosted health and 5% mana each time they resist.', 'Arctic Core: The Arctic Core activates each time this character’s Special Skill is cast', ' * All enemies receive Corrosive Frost for 3 turns. With fully charged Arctic Core, the Corrosive Frost deals 153 Frost damage, and lowers the target’s attack by -15% each turn. Deals extra damage against heroes with Minions or a Mega Minion.', ' * The Frost damage is scaled by the amount of charge in the Core. All charge is exhausted when the Core is activated.']","['Hit 3', 'Mana Increase 3']",untoldtales,"['Members of this realm have a Arctic Core.', 'The Arctic Core is charged each time this character receives damage from normal attacks or Special Skills.', 'The members of this realm have additional perks in Untold Tales II: Treasures of Flame and Frost stages.']",myrkheim,https://imgur.com/vdreiVK.jpg,0,,0,0,0.0,20,10,0,0
Vodnik,blue,3,Paladin,Fast,455,439,429,834,Trident Lunge,"['Deals 280% damage to the target', 'The more mana the enemies have, the more damage they will receive, up to 400%.']",0,['Hit 1'],pirates,"['Bonus for 2/3/4/5 Unique Heroes:', '+3%/+6%/+10%/+15% attack', '+2%/+4%/+7%/+12% mana generation']",corellia,https://i.imgur.com/aLr0hqV.jpg,0,,0,0,0.0,400,280,0,0
Soroca,blue,3,Paladin,Average,482,512,500,703,Faithful Force,"['Deals 235% damage to the target.', 'Deals additional 10% damage per each Ice shield on the board, up to 335%  damage in total.']","['Gargoyle’s Stoneskin: Every time this Gargoyle casts a Special Skill, their Stoneskin hardens. The next 4 times they receive damage, it is dropped to 1. This effect can’t be dispelled.']",['Hit 1'],gargoyle,"['Bonus for 1/2/3/ Unique Heroes:', 'Immune to Poison damage / Immune to Poison and Burn damage / Immune to Poison, Burn and Water damage', 'The members of this family have additional perks in the Return to Sanctuary event.']",gargoyle,https://i.imgur.com/m9CtBNT.jpg,0,,0,0,0.0,335,10,0,0
Karil,blue,3,Barbarian,Average,442,484,378,733,Ramming Rush,['Deals 260% damage to the target and minor damage to nearby enemies.'],0,['Hit 3'],season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into Superior Class Talent.']",classic,https://i.imgur.com/Upbhrq6.jpg,0,,0,0,0.0,260,260,0,0
Karil C,blue,3,Rogue,Average,466,527,379,793,Forge Rush,"['Deals 240% damage to the target and minor damage to nearby enemies.', 'The target and nearby enemies receive 60 Burn damage over 3 turns.']",0,"['Hit 3', 'Dot 3']",season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into Superior Class Talent.']",classic,https://i.imgur.com/g4KxM6b.jpg,1,60 Burn damage over 3 turns.,60,3,20.0,240,240,0,0
Karil C2,blue,3,Barbarian,Average,505,580,415,865,Toontastic Rush,"['Deals 290% damage to the target and minor damage to nearby enemies.', 'Deals extra damage against Fire.']","['Toon: 75% extra chance to resist all status ailments, mana reductions and buff dispels.']",['Hit 3'],season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into Superior Class Talent.']",classic,https://i.imgur.com/BviOX1i.jpg,2,,0,0,0.0,290,290,0,0
